title,url,publishedAt
Tata Elxsi shares rise 0.29 per cent in Friday's trading session,https://economictimes.indiatimes.com/markets/stocks/stock-watch/tata-elxsi-shares-rise-0-29-per-cent-in-fridays-trading-session/articleshow/112398586.cms,2024-08-09T08:24:56Z
Shares of DLF rise as Nifty gains,https://economictimes.indiatimes.com/markets/stocks/stock-watch/shares-of-dlf-rise-as-nifty-gains/articleshow/112398213.cms,2024-08-09T08:14:40Z
Ambuja Cements share price down 0.56 per cent,https://economictimes.indiatimes.com/markets/stocks/stock-watch/ambuja-cements-share-price-down-0-56-per-cent/articleshow/112398102.cms,2024-08-09T08:09:34Z
Indices trade with major gains; European mkt advance,https://www.business-standard.com/markets/capital-market-news/indices-trade-with-major-gains-european-mkt-advance-124080900571_1.html,2024-08-09T08:02:00Z
Godrej Consumer shares down 0.22% as Nifty gains,https://economictimes.indiatimes.com/markets/stocks/stock-watch/godrej-consumer-shares-down-0-22-as-nifty-gains/articleshow/112397610.cms,2024-08-09T07:49:10Z
Chola Inv Finance shares fall 0.84% as Nifty gains,https://economictimes.indiatimes.com/markets/stocks/stock-watch/chola-inv-finance-shares-fall-0-84-as-nifty-gains/articleshow/112397437.cms,2024-08-09T07:44:03Z
ACC shares drop 0.25% as Sensex rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/acc-shares-drop-0-25-as-sensex-rises/articleshow/112397301.cms,2024-08-09T07:38:56Z
Shares of Avenue Supermart rise as Nifty gains,https://economictimes.indiatimes.com/markets/stocks/stock-watch/shares-of-avenue-supermart-rise-as-nifty-gains/articleshow/112397062.cms,2024-08-09T07:28:43Z
Adani Power shares up 0.6% as Nifty gains,https://economictimes.indiatimes.com/markets/stocks/stock-watch/adani-power-shares-up-0-6-as-nifty-gains/articleshow/112396926.cms,2024-08-09T07:23:37Z
Tube Investments shares drop 0.03% as Sensex rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/tube-investments-shares-drop-0-03-as-sensex-rises/articleshow/112396629.cms,2024-08-09T07:13:25Z
Share price of Indian Oil Corp. falls as Nifty strengthens,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-price-of-indian-oil-corp-falls-as-nifty-strengthens/articleshow/112396501.cms,2024-08-09T07:08:17Z
Barometers turn rangebound; realty shares in demand,https://www.business-standard.com/markets/capital-market-news/barometers-turn-rangebound-realty-shares-in-demand-124080900501_1.html,2024-08-09T07:04:00Z
Shares of Havells India rise as Nifty gains,https://economictimes.indiatimes.com/markets/stocks/stock-watch/shares-of-havells-india-rise-as-nifty-gains/articleshow/112396361.cms,2024-08-09T07:03:08Z
INR edges up as NIFTY extends bounce,https://www.business-standard.com/markets/capital-market-news/inr-edges-up-as-nifty-extends-bounce-124080900509_1.html,2024-08-09T07:02:00Z
Divis Labs shares rise 0.28% as Sensex climbs,https://economictimes.indiatimes.com/markets/stocks/stock-watch/divis-labs-shares-rise-0-28-as-sensex-climbs/articleshow/112396209.cms,2024-08-09T06:58:01Z
Siemens shares rise 1.08% as Sensex climbs,https://economictimes.indiatimes.com/markets/stocks/stock-watch/siemens-shares-rise-1-08-as-sensex-climbs/articleshow/112396067.cms,2024-08-09T06:52:54Z
Crompton Greaves shares gain 1.14% as Sensex rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/crompton-greaves-shares-gain-1-14-as-sensex-rises/articleshow/112395853.cms,2024-08-09T06:47:48Z
Shree Cements shares decline 0.04% as Sensex climbs,https://economictimes.indiatimes.com/markets/stocks/stock-watch/shree-cements-shares-decline-0-04-as-sensex-climbs/articleshow/112395688.cms,2024-08-09T06:42:42Z
Tata Power shares rise 0.23 per cent in Friday's trading session,https://economictimes.indiatimes.com/markets/stocks/stock-watch/tata-power-shares-rise-0-23-per-cent-in-fridays-trading-session/articleshow/112395544.cms,2024-08-09T06:37:35Z
"Oil India rallies 7%, hits record high post Q1 results; ONGC surges 4%",https://www.business-standard.com/markets/news/oil-india-rallies-7-hits-record-high-post-q1-results-ongc-surges-4-124080900417_1.html,2024-08-09T06:36:13Z
GAIL shares up 0.08% as Nifty gains,https://economictimes.indiatimes.com/markets/stocks/stock-watch/gail-shares-up-0-08-as-nifty-gains/articleshow/112394847.cms,2024-08-09T06:07:05Z
"Nifty near 24,350 mark; IT shares advance; VIX drops 5.85%",https://www.business-standard.com/markets/capital-market-news/nifty-near-24-350-mark-it-shares-advance-vix-drops-5-85-124080900424_1.html,2024-08-09T06:03:00Z
HDFC AMC shares up 1.25% as Nifty gains,https://economictimes.indiatimes.com/markets/stocks/stock-watch/hdfc-amc-shares-up-1-25-as-nifty-gains/articleshow/112394709.cms,2024-08-09T06:01:59Z
Gtech AirRam 3 cordless upright vacuum cleaner review,https://www.techradar.com/home/vacuums/gtech-airram-3-cordless-upright-vacuum-cleaner-review,2024-08-09T06:00:18Z
Stock market update: Fertilisers stocks up as market rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-up-as-market-rises/articleshow/112394467.cms,2024-08-09T05:50:36Z
Stock market update: Stocks that hit 52-week highs on NSE,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-stocks-that-hit-52-week-highs-on-nse/articleshow/112394315.cms,2024-08-09T05:45:30Z
Stock market update: Stocks that hit 52-week lows on NSE,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-stocks-that-hit-52-week-lows-on-nse/articleshow/112394232.cms,2024-08-09T05:40:24Z
"Nifty IT soars 2% amid positive US job data, rebound in global markets",https://www.business-standard.com/markets/news/nifty-it-soars-2-amid-positive-us-job-data-rebound-in-global-markets-124080900366_1.html,2024-08-09T05:36:56Z
Stock market update: Nifty Pharma index advances 0.38% in an upbeat market,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-pharma-index-advances-0-38-in-an-upbeat-market/articleshow/112394136.cms,2024-08-09T05:35:16Z
Varun Beverages shares rise 2.12% as Nifty gains,https://economictimes.indiatimes.com/markets/stocks/stock-watch/varun-beverages-shares-rise-2-12-as-nifty-gains/articleshow/112394010.cms,2024-08-09T05:31:25Z
Stock market update: Power stocks up as market rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-up-as-market-rises/articleshow/112393989.cms,2024-08-09T05:30:10Z
"Railway, PSU, and IT stocks most vulnerable to market downturns, warn experts. Here's what they recommend instead",https://economictimes.indiatimes.com/markets/stocks/news/railway-psu-and-it-stocks-most-vulnerable-to-market-downturns-warn-experts-heres-what-they-recommend-instead/articleshow/112393878.cms,2024-08-09T05:27:53Z
Share price of Indian Hotels rises as Nifty strengthens,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-price-of-indian-hotels-rises-as-nifty-strengthens/articleshow/112393914.cms,2024-08-09T05:26:18Z
LTIMindtree shares rise 1.62 per cent in Friday's trading session,https://economictimes.indiatimes.com/markets/stocks/stock-watch/ltimindtree-shares-rise-1-62-per-cent-in-fridays-trading-session/articleshow/112393626.cms,2024-08-09T05:16:05Z
