Unnamed: 0,title,url,publishedAt,FinBERT score
294,Stock market update: Power stocks down as market rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-down-as-market-rises/articleshow/112806336.cms,2024-08-26T10:50:28Z,-0.5120652318000793
296,"Rupee settles on flat note, closes 1 paisa higher at 83.89 against US dollar",https://www.thehindubusinessline.com/markets/forex/rupee-settles-on-flat-note-closes-1-paisa-higher-at-8389-against-us-dollar/article68568504.ece,2024-08-26T10:43:02Z,0.408921480178833
301,India stocks higher at close of trade; Nifty 50 up 0.76%,https://www.investing.com/news/stock-market-news/india-stocks-higher-at-close-of-trade-nifty-50-up-076-3586520,2024-08-26T10:35:05Z,0.7272511124610901
302,Stock market update: Sugar stocks down as market rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-down-as-market-rises/articleshow/112805717.cms,2024-08-26T10:30:07Z,-0.8088805079460144
312,Market trade with robust gains; European mkt opens lower,https://www.business-standard.com/markets/capital-market-news/market-trade-with-robust-gains-european-mkt-opens-lower-124082600568_1.html,2024-08-26T08:05:00Z,-0.6128535270690918
313,Ashok Leyland shares down 0.69% as Nifty gains,https://economictimes.indiatimes.com/markets/stocks/stock-watch/ashok-leyland-shares-down-0-69-as-nifty-gains/articleshow/112800870.cms,2024-08-26T08:04:43Z,-0.9498969316482544
321,Siemens shares up 0.32% as Nifty gains,https://economictimes.indiatimes.com/markets/stocks/stock-watch/siemens-shares-up-0-32-as-nifty-gains/articleshow/112799820.cms,2024-08-26T07:29:00Z,0.5433248281478882
323,Bajaj Holdings shares fall 0.2% as Nifty gains,https://economictimes.indiatimes.com/markets/stocks/stock-watch/bajaj-holdings-shares-fall-0-2-as-nifty-gains/articleshow/112799493.cms,2024-08-26T07:18:48Z,-0.852507472038269
329,Shriram Finance shares up 0.79% as Nifty gains,https://economictimes.indiatimes.com/markets/stocks/stock-watch/shriram-finance-shares-up-0-79-as-nifty-gains/articleshow/112798604.cms,2024-08-26T06:48:06Z,0.5316025018692017
335,Havells India shares up 0.73% as Nifty gains,https://economictimes.indiatimes.com/markets/stocks/stock-watch/havells-india-shares-up-0-73-as-nifty-gains/articleshow/112797526.cms,2024-08-26T06:12:18Z,0.4351252913475036
337,Lupin shares up 0.37% as Nifty gains,https://economictimes.indiatimes.com/markets/stocks/stock-watch/lupin-shares-up-0-37-as-nifty-gains/articleshow/112797176.cms,2024-08-26T06:02:05Z,0.5234845280647278
340,Stock market update: Fertilisers stocks down as market rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-down-as-market-rises/articleshow/112796890.cms,2024-08-26T05:55:37Z,-0.6852385997772217
343,Sensex rises! But these stocks are down 5% or more on BSE,https://economictimes.indiatimes.com/markets/stocks/stock-watch/sensex-rises-but-these-stocks-are-down-5-or-more-on-bse/articleshow/112796429.cms,2024-08-26T05:40:26Z,-0.9033725261688232
346,Indian Hotels shares up 2.6% as Nifty gains,https://economictimes.indiatimes.com/markets/stocks/stock-watch/indian-hotels-shares-up-2-6-as-nifty-gains/articleshow/112796098.cms,2024-08-26T05:26:15Z,0.5706929564476013
373,Sensex rises! But these stocks fell 5% or more in Tuesday's session,https://economictimes.indiatimes.com/markets/stocks/stock-watch/sensex-rises-but-these-stocks-fell-5-or-more-in-tuesdays-session/articleshow/112838337.cms,2024-08-27T11:41:37Z,-0.8622079491615295
384,Stock market update: FMCG stocks down as market rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fmcg-stocks-down-as-market-rises/articleshow/112837061.cms,2024-08-27T11:00:45Z,-0.7261418700218201
390,Rupee falls 5 paise to close at 83.92 against US dollar,https://www.thehindubusinessline.com/markets/forex/rupee-falls-5-paise-to-close-at-8392-against-us-dollar/article68572367.ece,2024-08-27T10:40:59Z,-0.4928768873214721
391,Stock market update: Stocks that hit 52-week lows on NSE in today's trade,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-stocks-that-hit-52-week-lows-on-nse-in-todays-trade/articleshow/112836524.cms,2024-08-27T10:40:19Z,-0.5728083848953247
409,InterGlobe shares down 0.52% as Nifty gains,https://economictimes.indiatimes.com/markets/stocks/stock-watch/interglobe-shares-down-0-52-as-nifty-gains/articleshow/112831339.cms,2024-08-27T08:09:44Z,-0.9283629655838012
